ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0559048,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,"£1,550.00",10/05/2022,Campaign broadcasts,Arkmedia,"",£0.00,£0.00,£0.00,"£1,550.00",10/05/2022,11/05/2022,680,78767,,,,False
SP0559047,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£800.00,10/05/2022,Campaign broadcasts,Harry Cook,"",£0.00,£0.00,£0.00,£800.00,10/05/2022,11/05/2022,680,59881,,,,False
SP0558499,Ulster Unionist Party,Northern Ireland Assembly Election 05/05/2022,Political Party,£168.00,09/05/2022,Advertising,PML NI Ltd,"Citylink Business Park, Albert Street, Belfast, BT12 4HQ, United Kingdom",£0.00,£0.00,£0.00,£168.00,13/05/2022,24/05/2022,83,78731,,,,False
SP0559069,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£756.68,08/05/2022,Advertising,PML,"College House, Citylink Business Park, Albert Street, Belfast, BT12 4HQ, United Kingdom",£0.00,£0.00,£0.00,£756.68,08/05/2022,08/05/2022,680,78769,,,,False
SP0559917,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,05/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559916,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,05/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559914,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,05/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559913,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,05/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559912,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,05/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559884,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£918.00,05/05/2022,Advertising,National World Publishing Ltd,"PO Box 624, Craigavon, Armagh, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£918.00,05/05/2022,15/06/2022,70,78916,,,,False
SP0559883,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£918.00,05/05/2022,Advertising,National World Publishing Ltd,"PO Box 624, Craigavon, Armagh, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£918.00,05/05/2022,15/06/2022,70,78916,,,,False
SP0559736,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly Election 05/05/2022,Political Party,"£2,750.00",05/05/2022,Media,Meta Platforms Ireland Ltd,"Merrion Rd, Grand Canal Harbour, Dublin 4, DO4 X2K5, Ireland, The Republic of",£0.00,£0.00,£0.00,"£2,750.00",05/05/2022,05/05/2022,55,78903,,,,False
SP0559081,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£402.96,05/05/2022,Advertising,Facebook,"4 Grand Canal Square, Grand Canal Harbour, Dublin, ZZ0 0ZZ, Ireland, The Republic of",£0.00,£0.00,£0.00,£402.96,05/06/2022,05/06/2022,680,78772,,,,False
SP0559080,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£240.00,05/05/2022,Advertising,National World,"PO Box 624, Craigavon, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£240.00,05/05/2022,01/06/2022,680,78777,,,,False
SP0559882,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£918.00,04/05/2022,Advertising,National World Publishing Ltd,"PO Box 624, Craigavon, Armagh, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£918.00,05/05/2022,15/06/2022,70,78916,,,,False
SP0559741,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly Election 05/05/2022,Political Party,£630.53,04/05/2022,Transport,Joseph Rafferty Oil Ltd,"Bridgend, Co Donegal, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£630.53,04/05/2022,04/05/2022,55,78907,,,,False
SP0559735,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly Election 05/05/2022,Political Party,"£1,950.00",04/05/2022,Media,Meta Platforms Ireland Ltd,"Merrion Rd, Grand Canal Harbour, Dublin 4, DO4 X2K5, Ireland, The Republic of",£0.00,£0.00,£0.00,"£1,950.00",04/05/2022,04/05/2022,55,78903,,,,False
SP0559676,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly Election 05/05/2022,Political Party,£53.07,04/05/2022,Unsolicited material to electors,Quinns The Printers,"27 Old Gloucester Street, London, WC1N 3AX, United Kingdom",£0.00,£0.00,£0.00,£53.07,04/05/2022,04/05/2022,55,78891,,,,False
SP0559608,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly Election 05/05/2022,Political Party,"£4,050.00",04/05/2022,Unsolicited material to electors,Jake Campbell,"",£0.00,£0.00,£0.00,"£4,050.00",20/04/2022,21/04/2022,103,78864,,,,False
SP0559094,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£45.53,04/05/2022,Transport,Spar,"Cullybackey Main Street, Not supplied, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£45.53,04/05/2022,04/05/2022,680,78779,,,,False
SP0559079,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£480.00,04/05/2022,Advertising,National World,"PO Box 624, Craigavon, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£480.00,04/05/2022,01/06/2022,680,78777,,,,False
SP0559076,Traditional Unionist Voice - TUV,Northern Ireland Assembly Election 05/05/2022,Political Party,£2.69,04/05/2022,Advertising,Facebook,"4 Grand Canal Square, Grand Canal Harbour, Dublin, ZZ0 0ZZ, Ireland, The Republic of",£0.00,£0.00,£0.00,£2.69,04/05/2022,05/05/2022,680,78772,,,,False
SP0558501,Ulster Unionist Party,Northern Ireland Assembly Election 05/05/2022,Political Party,£459.00,04/05/2022,Advertising,National World Publishing Ltd,"PO Box 624, Craigavon, BT64 9ER, United Kingdom",£0.00,£0.00,£0.00,£459.00,04/05/2022,15/06/2022,83,78733,,,,False
SP0559915,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,03/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,05/05/2022,06/05/2022,70,78919,,,,False
SP0559911,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£56.12,03/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£56.12,04/05/2022,05/05/2022,70,78919,,,,False
SP0559909,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,03/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,04/05/2022,05/05/2022,70,78919,,,,False
SP0559908,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,03/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,04/05/2022,06/05/2022,70,78919,,,,False
SP0559734,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly Election 05/05/2022,Political Party,"£1,000.00",03/05/2022,Media,Meta Platforms Ireland Ltd,"Merrion Rd, Grand Canal Harbour, Dublin 4, DO4 X2K5, Ireland, The Republic of",£0.00,£0.00,£0.00,"£1,000.00",03/05/2022,03/05/2022,55,78903,,,,False
SP0559551,Sinn Féin,Northern Ireland Assembly Election 05/05/2022,Political Party,"£4,800.00",03/05/2022,Advertising,The Irish News,"113-117 Donegall Street, Belfast, Antrim, BT1 2GE, United Kingdom",£0.00,£0.00,£0.00,"£4,800.00",03/05/2022,31/05/2022,39,78835,,,,False
SP0559540,Sinn Féin,Northern Ireland Assembly Election 05/05/2022,Political Party,£882.69,03/05/2022,Campaign broadcasts,Digital Dub,"",£0.00,£0.00,£0.00,£882.69,12/05/2022,28/06/2022,39,78830,,,,False
SP0559910,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,04/05/2022,05/05/2022,70,78919,,,,False
SP0559907,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,"£1,969.82",02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,"£1,969.82",03/05/2022,04/05/2022,70,78919,,,,False
SP0559906,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,03/05/2022,04/05/2022,70,78919,,,,False
SP0559905,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,03/05/2022,04/05/2022,70,78919,,,,False
SP0559904,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,03/05/2022,04/05/2022,70,78919,,,,False
SP0559903,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,03/05/2022,04/05/2022,70,78919,,,,False
SP0559901,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly Election 05/05/2022,Political Party,£840.00,02/05/2022,Advertising,Meta Platform Ireland Ltd,"Merron Road, Grand Canal Harbour, Dublin 4, Dublin 4, Ireland, The Republic of",£0.00,£0.00,£0.00,£840.00,03/05/2022,04/05/2022,70,78919,,,,False
